"filename", "language", "TOML", "Markdown", "Rust", "Docker", "YAML", "JSON", "Properties", "JavaScript", "HTML", "SurrealQL", "comment", "blank", "total"
"d:\Users\Owner\Documents\GitHub\MasterTechProject\Cargo.toml", "TOML", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 36
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\.cargo\config.toml", "TOML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 20
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\.github\workflows\pages.yml", "YAML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 39, 5, 75
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\.github\workflows\rust.yml", "YAML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 31, 9, 60
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\Cargo.toml", "TOML", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 63
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\Dockerfile", "Docker", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 28, 12, 52
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\Trunk.toml", "TOML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 10, 79
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\assets\manifest.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\assets\sw.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 2, 3, 26
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\docker-compose.yml", "YAML", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 37, 5, 139
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 10, 24, 141
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\app_state.rs", "Rust", 0, 0, 472, 0, 0, 0, 0, 0, 0, 0, 38, 53, 563
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\dummy_worker.rs", "Rust", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\lib.rs", "Rust", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\live_worker.rs", "Rust", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 9, 13, 67
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\main.rs", "Rust", 0, 0, 454, 0, 0, 0, 0, 0, 0, 0, 34, 42, 530
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\pages\account_settings_page.rs", "Rust", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 14, 20, 167
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\pages\downloads_page.rs", "Rust", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 3, 12, 74
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\pages\login_page.rs", "Rust", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 1, 17, 193
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\pages\main_page.rs", "Rust", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 2, 31
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\pages\menu_bar.rs", "Rust", 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 8, 19, 229
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\pages\mod.rs", "Rust", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\pages\signup_page.rs", "Rust", 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 5, 23, 195
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\pages\webconsole_page.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\aging_tasks\mod.rs", "Rust", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 30, 4, 40
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\ai_playground\mod.rs", "Rust", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 3, 29, 216
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\completed_tasks\mod.rs", "Rust", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 1, 34
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\customer\mod.rs", "Rust", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 8, 14, 143
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\github_issue\mod.rs", "Rust", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 19, 93
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\mod.rs", "Rust", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\my_tasks\mod.rs", "Rust", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 2, 4, 47
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\quote_fulfilled_tasks\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\store_tasks\mod.rs", "Rust", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\terminal\chart.rs", "Rust", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 13, 117
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\terminal\mod.rs", "Rust", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 7, 43
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\toolbox\mod.rs", "Rust", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 12, 50
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\toolbox\storage_api.rs", "Rust", 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 17, 43, 384
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\web_console\charts.rs", "Rust", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 12, 15, 110
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\web_console\display.rs", "Rust", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 3, 19, 191
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\web_console\mod.rs", "Rust", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 12, 60
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\tabs\web_console\websockets.rs", "Rust", 0, 0, 454, 0, 0, 0, 0, 0, 0, 0, 65, 71, 590
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\ai\chat.rs", "Rust", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 8, 78
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\ai\conv.rs", "Rust", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 14, 16, 100
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\ai\gpts.rs", "Rust", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 7, 18
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\ai\mod.rs", "Rust", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 6, 17
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\ai\model.rs", "Rust", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\ai\oa_client.rs", "Rust", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\ai\tool_call.rs", "Rust", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 22, 29, 208
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\ai\tools\ai_tools.rs", "Rust", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\ai\tools\mod.rs", "Rust", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 8, 27
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\ai\tools\spec.rs", "Rust", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 4, 12, 66
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\ai\tools\weather.rs", "Rust", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 5, 8, 53
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\ai\utils\mod.rs", "Rust", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 4, 9
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\ai\utils\x_value.rs", "Rust", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\displays\chats\highlighter.rs", "Rust", 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 10, 19, 193
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\displays\chats\markdown_editor.rs", "Rust", 0, 0, 256, 0, 0, 0, 0, 0, 0, 0, 28, 49, 333
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\displays\chats\mod.rs", "Rust", 0, 0, 251, 0, 0, 0, 0, 0, 0, 0, 5, 46, 302
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\displays\chats\parser.rs", "Rust", 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 59, 44, 331
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\displays\chats\viewer.rs", "Rust", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 2, 14, 174
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\displays\mod.rs", "Rust", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\displays\modals\ai_chat.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\displays\modals\create_task_modal.rs", "Rust", 0, 0, 531, 0, 0, 0, 0, 0, 0, 0, 27, 78, 636
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\displays\modals\mod.rs", "Rust", 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 23, 44, 347
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\displays\modals\task_modal.rs", "Rust", 0, 0, 748, 0, 0, 0, 0, 0, 0, 0, 30, 81, 859
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\displays\tasks\mod.rs", "Rust", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\displays\tasks\sub_menu.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 18
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\displays\tasks\task_cards.rs", "Rust", 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 3, 10, 220
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\displays\tasks\task_layout.rs", "Rust", 0, 0, 282, 0, 0, 0, 0, 0, 0, 0, 24, 32, 338
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\filter.rs", "Rust", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 8, 10, 90
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\get_data.rs", "Rust", 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 23, 26, 221
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\handle_live_data.rs", "Rust", 0, 0, 223, 0, 0, 0, 0, 0, 0, 0, 38, 33, 294
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\interact_tasks.rs", "Rust", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 1, 19, 152
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\mod.rs", "Rust", 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 28, 37, 298
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\sortable.rs", "Rust", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 13, 7, 54
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\utilities\update_tasks.rs", "Rust", 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 3, 43, 224
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\src\webworker.rs", "Rust", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 17, 85
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\websocket_server\.cargo\config.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 12
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\websocket_server\.env", "Properties", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\websocket_server\Cargo.toml", "TOML", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 21
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\websocket_server\Dockerfile", "Docker", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 4, 5, 42
"d:\Users\Owner\Documents\GitHub\MasterTechProject\MtechServer2.0\websocket_server\src\main.rs", "Rust", 0, 0, 245, 0, 0, 0, 0, 0, 0, 0, 53, 35, 333
"d:\Users\Owner\Documents\GitHub\MasterTechProject\README.md", "Markdown", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 57
"d:\Users\Owner\Documents\GitHub\MasterTechProject\database\Cargo.toml", "TOML", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 21
"d:\Users\Owner\Documents\GitHub\MasterTechProject\database\backups\06.27.2024.surql", "SurrealQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 383, 63, 62, 508
"d:\Users\Owner\Documents\GitHub\MasterTechProject\database\backups\Local\Backup.surql", "SurrealQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 340, 60, 59, 459
"d:\Users\Owner\Documents\GitHub\MasterTechProject\database\backups\Local\database.surql", "SurrealQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 332, 57, 60, 449
"d:\Users\Owner\Documents\GitHub\MasterTechProject\database\backups\Local\localhost-2024-06-17.surql", "SurrealQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 339, 60, 61, 460
"d:\Users\Owner\Documents\GitHub\MasterTechProject\database\backups\Local\v2-data-2024-06-17.surql", "SurrealQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 326, 58, 50, 434
"d:\Users\Owner\Documents\GitHub\MasterTechProject\database\backups\Local\v2-schema-2024-06-17.surql", "SurrealQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 27, 28, 137
"d:\Users\Owner\Documents\GitHub\MasterTechProject\database\backups\Production\master-techapp-2024-07-04-TEST.surql", "SurrealQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 375, 62, 65, 502
