Date : 2024-07-13 17:34:50
Directory : /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0
Total : 100 files,  20661 codes, 1826 comments, 2885 blanks, all 25372 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Rust       |         71 |      9,026 |      1,066 |      1,393 |     11,485 |
| TOML       |          9 |      8,380 |         99 |        917 |      9,396 |
| SurrealQL  |          9 |      2,907 |        510 |        511 |      3,928 |
| YAML       |          3 |        148 |        107 |         19 |        274 |
| HTML       |          1 |        106 |         10 |         24 |        140 |
| Docker     |          2 |         47 |         32 |         17 |         96 |
| JSON       |          1 |         23 |          0 |          1 |         24 |
| JavaScript |          1 |         21 |          2 |          3 |         26 |
| Properties |          3 |          3 |          0 |          0 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |        100 |     20,661 |      1,826 |      2,885 |     25,372 |
| . (Files)                                                                                                                     |          5 |      6,820 |        127 |        720 |      7,667 |
| .cargo                                                                                                                        |          1 |          4 |          9 |          7 |         20 |
| .github                                                                                                                       |          2 |         51 |         70 |         14 |        135 |
| .github/workflows                                                                                                             |          2 |         51 |         70 |         14 |        135 |
| database                                                                                                                      |         13 |      3,575 |        592 |        611 |      4,778 |
| database (Files)                                                                                                              |          2 |         14 |          4 |          2 |         20 |
| database/backups                                                                                                              |          9 |      2,907 |        510 |        511 |      3,928 |
| database/backups (Files)                                                                                                      |          2 |        741 |        126 |        124 |        991 |
| database/backups/Local                                                                                                        |          5 |      1,419 |        262 |        258 |      1,939 |
| database/backups/Production                                                                                                   |          2 |        747 |        122 |        129 |        998 |
| database/src                                                                                                                  |          2 |        654 |         78 |         98 |        830 |
| database/src (Files)                                                                                                          |          1 |        130 |          7 |         29 |        166 |
| database/src/schema                                                                                                           |          1 |        524 |         71 |         69 |        664 |
| frontend                                                                                                                      |         73 |      8,327 |        958 |      1,296 |     10,581 |
| frontend (Files)                                                                                                              |          3 |        156 |         21 |         32 |        209 |
| frontend/assets                                                                                                               |          2 |         44 |          2 |          4 |         50 |
| frontend/src                                                                                                                  |         68 |      8,127 |        935 |      1,260 |     10,322 |
| frontend/src (Files)                                                                                                          |          5 |        838 |        104 |        112 |      1,054 |
| frontend/src/pages                                                                                                            |          7 |        538 |         24 |         78 |        640 |
| frontend/src/tabs                                                                                                             |         16 |      1,604 |        118 |        253 |      1,975 |
| frontend/src/tabs (Files)                                                                                                     |          1 |         47 |          0 |          3 |         50 |
| frontend/src/tabs/aging_tasks                                                                                                 |          1 |          6 |         30 |          4 |         40 |
| frontend/src/tabs/ai_playground                                                                                               |          1 |        184 |          3 |         29 |        216 |
| frontend/src/tabs/completed_tasks                                                                                             |          1 |         18 |          6 |          2 |         26 |
| frontend/src/tabs/github_issue                                                                                                |          1 |         87 |          1 |         21 |        109 |
| frontend/src/tabs/my_tasks                                                                                                    |          1 |         28 |         24 |          4 |         56 |
| frontend/src/tabs/quote_fulfilled_tasks                                                                                       |          1 |          0 |          0 |          1 |          1 |
| frontend/src/tabs/store_tasks                                                                                                 |          1 |         22 |          2 |          4 |         28 |
| frontend/src/tabs/terminal                                                                                                    |          2 |        139 |          1 |         20 |        160 |
| frontend/src/tabs/toolbox                                                                                                     |          2 |        340 |          8 |         61 |        409 |
| frontend/src/tabs/web_console                                                                                                 |          4 |        733 |         43 |        104 |        880 |
| frontend/src/utilities                                                                                                        |         40 |      5,147 |        689 |        817 |      6,653 |
| frontend/src/utilities (Files)                                                                                                |          9 |      1,068 |        136 |        187 |      1,391 |
| frontend/src/utilities/ai                                                                                                     |         13 |        474 |         60 |        113 |        647 |
| frontend/src/utilities/ai (Files)                                                                                             |          7 |        326 |         45 |         72 |        443 |
| frontend/src/utilities/ai/tools                                                                                               |          4 |        130 |         12 |         33 |        175 |
